geography,Gclass
Albany,City
Atlanta,City
Baltimore/Washington,Metro
Boise,City
Boston,City
Buffalo/Rochester,Metro
California,State
Charlotte,City
Chicago,City
Cincinnati/Dayton,Metro
Columbus,City
Dallas/Ft. Worth,Metro
Denver,City
Detroit,City
Grand Rapids,City
Great Lakes,Region
Harrisburg/Scranton,Metro
Hartford/Springfield,Metro
Houston,City
Indianapolis,City
Jacksonville,City
Las Vegas,City
Los Angeles,Metro
Louisville,City
Miami/Ft. Lauderdale,Metro
Midsouth,Region
Nashville,City
New Orleans/Mobile,Metro
New York,Metro
Northeast,Region
Northern New England,Region
Orlando,City
Philadelphia,City
Phoenix/Tucson,Metro
Pittsburgh,City
Plains,Region
Portland,City
Raleigh/Greensboro,Metro
Richmond/Norfolk,Metro
Roanoke,City
Sacramento,City
San Diego,City
San Francisco,City
Seattle,City
South Carolina,State
South Central,Region
Southeast,Region
Spokane,City
St. Louis,City
Syracuse,City
Tampa,City
Total U.S.,Country
West,Region
West Tex/New Mexico,Region 
